Galaxy,OutputAll,DirAll,x2All,OutputAbs,DirAbs,x2Abs,OutputEmi,DirEmi,x2Emi
J0021_0052,148,285,0.4950662284197222,109,260,0.8852777174906135,148,249,0.46566680611992983
J0036_3333,148,139,6.187945207702444,162,101,9.616401508280461,148,222,2.895170761561567
J0127_0619,148,227,0.8689815453895484,148,227,0.9917832671533291,150,146,2.6638378100557327
J0144_0453,149,227,0.660282630172167,158,228,0.9029769890532062,153,194,0.8946522437987455
J0337_0502,153,194,2.294440612329098,153,120,3.494888604765646,148,261,2.6223079337028445
J0405_3648,148,122,0.823479238049967,150,246,0.8779681282270084,148,261,1.6448107824362588
J0808_3948,148,142,6.660829064123246,152,297,8.592151722720818,148,222,4.699460249634408
J0823_2806,135,229,1.5968598146130772,95,118,4.082028505758843,150,186,1.2637385888760577
J0926_4427,153,76,0.7032649453985848,153,76,1.6377426636015526,149,20,0.8905284039946251
J0934_5514,148,210,6.370970266682136,150,199,4.652410185701536,148,221,4.70824474240233
J0938_5428,160,77,1.0347647094388928,163,116,1.1624773531287067,156,98,1.3351863047471668
J0940_2935,148,222,0.8230360346660893,154,21,0.6269858126791176,148,221,1.2914370869983887
J0942_3547,148,122,0.3547048785569189,148,122,0.9412581152807614,103,256,0.6760452705205071
J0944_0038,158,206,0.3109860752930184,119,60,0.4984236343711107,120,151,0.5767523045906016
J0944_3442,154,137,0.09229759089224994,158,158,0.07944813502159617,149,74,0.060161649173227326
J1016_3754,148,240,0.627534621711459,150,55,0.8510973205932033,148,221,1.3079261152363644
J1024_0524,148,181,0.414858992641546,108,144,0.2061318790260602,148,222,0.39126999185309064
J1025_3622,164,238,0.6041964336491268,102,63,1.0649130992868456,149,58,0.6148837093674727
J1044_0353,154,168,1.2937820923176613,154,111,0.8112012491824218,114,127,0.4652098237506124
J1105_4444,107,208,1.3289755823211873,106,204,1.0523256052877001,148,261,0.41508025348815325
J1112_5503,102,213,5.235249424611155,102,213,17.043513151916578,99,83,0.7002314606656164
J1119_5130,148,210,0.6897210352024631,145,256,1.2312892014788417,148,261,1.0225631066643932
J1129_2034,148,245,1.0990966839600447,148,245,1.8673670356970593,148,153,2.0136306703269105
J1132_1411,112,212,0.23617348360991383,112,113,0.5871722547838241,153,113,0.211133336771751
J1132_5722,148,210,0.22905097916208644,152,181,0.3284873061117751,148,261,0.2737266041780281
J1144_4012,104,203,1.6567149510810242,104,203,5.837481496411469,151,58,0.6488376492472071
J1148_2546,149,80,0.549528421362027,102,233,0.4406770091792882,148,263,0.4334324295331114
J1150_1501,148,241,1.791318573100393,148,227,2.7896761600510036,148,241,2.82858602466582
J1157_3220,100,221,1.2516803096169173,164,259,1.07911705634606,156,252,0.254714709772448
J1200_1343,149,139,0.4335071417775428,103,65,0.9553652909640112,148,15,0.4929153396517987
J1225_6109,148,241,1.2048620118324398,148,245,1.0407826777810187,148,241,3.1178998643097855
J1253_0312,148,101,1.6982173332317765,101,63,2.012005025266786,148,181,2.9841123777375844
J1314_3452,153,154,6.518913315058715,157,152,6.5310845642813735,148,261,9.349647061982287
J1323_0132,148,182,1.0351437000554842,90,196,0.8146190190221914,148,161,3.0327929573876435
J1359_5726,104,203,3.666374408974447,104,203,4.899180263319566,136,219,0.49402634175121274
J1416_1223,104,184,2.6848511000471964,104,184,9.174289143973606,164,97,0.8697221354500069
J1418_2102,148,210,0.34242717563414676,114,29,0.7123417165306543,113,191,0.22025278096135192
J1428_1653,164,234,0.33584379196995806,162,101,0.6910059239379742,153,281,0.30947178235476275
J1429_0643,164,259,0.6221509980391522,102,297,1.119558530623523,153,23,0.5343425583055204
J1444_4237,148,222,0.7905291096568,153,256,1.8924575294895674,148,122,1.030019403916694
J1448_0110,120,281,0.7739569823671388,107,206,0.6793321608607149,148,181,0.39933956112211816
J1521_0759,110,191,0.4349269345798731,111,267,1.361539828895249,164,33,0.28623655614026466
J1525_0757,148,157,7.55792596011251,148,157,31.50221095471526,99,128,0.6078462308264785
J1545_0858,148,222,0.23976502576337866,120,72,0.3168820194731527,148,261,0.28919108873339394
J1612_0817,100,184,14.925884766080665,100,184,51.570682006564645,99,202,1.4101612954341949
