rrad,meanrflux,stdrflux,meantotf
0.5,7.043271646525323e+36,3.87583864808876e+36,7.043271646525323e+36
2.0,7.174818747814907e+36,4.666751446867786e+36,1.5189058532666505e+37
3.0,2.4953532074633944e+36,1.4671239743091825e+36,1.8152876654279344e+37
4.0,2.017196420046264e+36,4.002042199683224e+35,2.0082786470569904e+37
5.0,2.130089671614832e+36,3.774604253647937e+35,2.250273524636716e+37
6.0,2.2982344097120076e+36,4.5906509913936584e+35,2.4823358168315084e+37
7.0,2.3006624609827323e+36,4.842475713719955e+35,2.7278541549882406e+37
8.0,2.2967536250929756e+36,5.014425000721827e+35,2.9507787838058667e+37
9.0,2.3485619473497834e+36,6.0505377254773774e+35,3.1931232194449136e+37
10.0,2.183653471472061e+36,7.005510831791591e+35,3.46023820739286e+37
11.0,2.055306842450318e+36,6.552190168248576e+35,3.703068445426678e+37
12.0,1.873806139510012e+36,5.0727565060297804e+35,3.885934068185571e+37
13.0,1.723280668012162e+36,4.3406856767941655e+35,4.0644954174298127e+37
14.0,1.6529565807961512e+36,4.46437986465814e+35,4.221606039642249e+37
15.0,1.5516734665419785e+36,4.66854027461708e+35,4.36684369788086e+37
16.0,1.425209699707579e+36,4.8826013070954794e+35,4.526928713552539e+37
17.0,1.3304507471468494e+36,5.028736017647582e+35,4.658694177241588e+37
18.0,1.1928232065635059e+36,5.447279017190906e+35,4.791824930173906e+37
19.0,1.0677436152453882e+36,5.5107854663800556e+35,4.872591226561653e+37
20.0,9.536368521569855e+35,5.457325644254147e+35,4.97590390020643e+37
21.0,7.784280158842229e+35,5.521287259801564e+35,5.0722658259431435e+37
22.0,6.467860256935367e+35,3.86886981309137e+35,5.144636781657823e+37
23.0,5.5353291955609286e+35,2.7627882942373803e+35,5.206490131394507e+37
24.0,4.510029987741391e+35,2.2294233844738472e+35,5.246206453379918e+37
25.0,3.566497181334635e+35,1.7275862456926143e+35,5.283461795155012e+37
26.0,2.703115752197783e+35,1.2984495887549638e+35,5.308017907421736e+37
27.0,2.0511402409382153e+35,1.0052133726011237e+35,5.325337334712223e+37
28.0,1.6278073994524223e+35,7.997010998022955e+34,5.337643940745787e+37
29.0,1.3229593911336342e+35,6.482908877225017e+34,5.346594024613688e+37
30.0,1.0074534371346997e+35,4.754407893964683e+34,5.35335862795072e+37
31.0,7.957067729646045e+34,3.317179890072523e+34,5.358778034178051e+37
32.0,6.667178965505314e+34,2.550677988824159e+34,5.36313477647273e+37
33.0,5.637487039553135e+34,2.150277067089819e+34,5.366818386540253e+37
34.0,4.643760633297593e+34,1.951764161836484e+34,5.369946581666999e+37
35.0,3.7224483667277046e+34,2.822183607127731e+34,5.372656378945147e+37
36.0,2.9819050415689675e+34,1.114079296089678e+34,5.375131019818244e+37
37.0,2.576552740832948e+34,9.6290536230528e+33,5.377567448306744e+37
38.0,2.209306828004896e+34,9.433815386831673e+33,5.380027716583128e+37
39.0,1.8234881927753774e+34,8.857036472927704e+33,5.381518510299766e+37
40.0,1.6037143957119393e+34,8.217556547851252e+33,5.382677255633937e+37
41.0,1.1960880387833488e+34,8.079531328952457e+33,5.383688828207353e+37
42.0,8.860876171080892e+33,6.526135185325648e+33,5.384436185343097e+37
43.0,7.416223274777647e+33,4.952567086709503e+33,5.385124960920368e+37
44.0,5.465674151314568e+33,4.748494331963843e+33,5.385620606647637e+37
45.0,4.1353167246684583e+33,4.0146177010746125e+33,5.386435430696121e+37
46.0,2.4385851486152043e+33,3.142517013534047e+33,5.387037953231682e+37
47.0,1.729738997517056e+33,2.871657086158289e+33,5.387315301558189e+37
48.0,1.1615259645405043e+33,2.77490772968952e+33,5.387573396744739e+37
49.0,7.425054779977902e+32,1.848654706921862e+33,5.387942605648473e+37
50.0,4.204671222986224e+32,1.678200905693045e+33,5.388815889598457e+37
51.0,1.9722119956449633e+32,1.376213942172471e+33,5.388945370701342e+37
52.0,4.454442876872317e+31,1.1344183626437665e+33,5.388970756577753e+37
53.0,3.350716987131965e+28,1.1355746642551502e+33,5.388972359315935e+37
54.0,0.0,4.7557865799649e+32,5.388972359315935e+37
55.0,0.0,4.135537300716253e+32,5.388972359315935e+37
56.0,0.0,2.444516933807826e+32,5.388972359315935e+37
