rrad,meanrcontcII,stdrcontcII,meanrfluocII,stdrfluocII,meanrcontsiII,stdrcontsiII,meanrfluosiII,stdrfluosiII
0.5,8.757250675712784e+39,4.715494246529608e+39,3.335963481174644e+37,1.1622738019109364e+38,9.883024729713752e+39,7.377123773650336e+39,9.76569346661489e+37,1.7053571434507106e+38
2.0,2.878470663398765e+39,2.922553570253918e+39,2.9991923986890168e+38,3.0660502476121506e+38,3.1116301187265586e+39,2.1603375413549478e+39,4.391457840905459e+38,2.594148811821764e+38
3.0,1.0429527167193574e+39,1.309806069841319e+39,3.080112655938663e+38,2.7147045477027167e+38,1.1093248990648123e+39,6.829259672053413e+38,4.0682291150070166e+38,2.0032189241285234e+38
4.0,6.244703307956362e+38,5.28740922309673e+38,3.3531379240442024e+38,2.76638371827156e+38,6.569835010621333e+38,2.4572579092869056e+38,4.346955612692073e+38,1.756450118744286e+38
5.0,5.7738646785613384e+38,2.6556945593571716e+38,3.53870723875117e+38,2.6674541606639303e+38,6.005548499216955e+38,2.277751753683917e+38,4.563191161429575e+38,1.6137734820322696e+38
6.0,5.988412783044226e+38,2.1272474283846657e+38,3.910130749490602e+38,2.712269387712573e+38,6.222132284259981e+38,2.7411727426153062e+38,5.079236795142774e+38,1.708960164021362e+38
7.0,4.8843626841872305e+38,1.864597932618183e+38,4.34175554247126e+38,2.8867092505875547e+38,4.927265031707666e+38,1.8545251869386265e+38,5.842571619722605e+38,2.166206631292224e+38
8.0,4.325788183698976e+38,1.772928824593741e+38,4.168754122425425e+38,2.7120605270338206e+38,4.3058117111525096e+38,1.3654331659068527e+38,5.88631136698709e+38,2.2504927209973234e+38
9.0,4.530915750493502e+38,2.073528485652967e+38,3.878188027287983e+38,2.319332248285911e+38,4.539862791494087e+38,2.154426391251161e+38,5.750501432597677e+38,2.1434056798240646e+38
10.0,4.61516817078528e+38,2.3714945549753605e+38,3.739546437618116e+38,2.0276897266759687e+38,4.651511035481555e+38,2.95692193173755e+38,5.432392956037839e+38,1.997487087680255e+38
11.0,4.124668582415714e+38,2.2048701415397062e+38,3.599860334688516e+38,1.741703441610057e+38,4.121741705835327e+38,2.659866277519396e+38,5.14252398698328e+38,1.7559414622129282e+38
12.0,3.2947305350445517e+38,1.6914428785156362e+38,3.4429551647814974e+38,1.5971297390303876e+38,3.2367155603167313e+38,1.5449273443786525e+38,4.884191962271287e+38,1.5834998650070757e+38
13.0,3.0066591640503034e+38,1.2919592525955093e+38,3.3981652023416018e+38,1.530849701194645e+38,2.9589388590949155e+38,1.0752924631047764e+38,4.5646199370286114e+38,1.5016922274914431e+38
14.0,3.048973500147552e+38,1.1655610102978914e+38,3.3022979959534657e+38,1.5119036628351364e+38,2.9725351462404998e+38,1.1700045440714023e+38,4.2404682550552265e+38,1.5390711615614292e+38
15.0,2.9811840966257884e+38,1.181433479324384e+38,3.2065153715757943e+38,1.4709345052801474e+38,2.9534575777160623e+38,1.1531111087413978e+38,3.953024745228853e+38,1.513111864167342e+38
