rrad,meanrcontcII,stdrcontcII,meanrfluocII,stdrfluocII,meanrcontsiII,stdrcontsiII,meanrfluosiII,stdrfluosiII
0.5,8.186892327412368e+40,4.232942415705212e+40,6.42847074432196e+39,1.685102054155481e+40,9.307594218687872e+40,4.877560087658893e+40,1.531548546981322e+40,2.685525283299257e+40
2.0,4.741405990944132e+40,3.868712352835279e+40,1.322547710850548e+40,1.3839266747947183e+40,5.323242865967821e+40,4.399223101721163e+40,2.7496719616966193e+40,2.0333048001196399e+40
3.0,9.939603688167745e+39,1.3253953740235392e+40,6.838962714869594e+39,6.415729474721153e+39,1.0834218057123378e+40,1.5047073704442913e+40,1.1943648003128669e+40,8.80849875841745e+39
4.0,4.424132069484706e+39,1.272603096341427e+39,5.519213717526248e+39,4.630024246847873e+39,4.5661096711092885e+39,1.3934545165811114e+39,8.532742663694297e+39,4.872171355447716e+39
5.0,4.155085071814e+39,1.4478383301750094e+39,5.285162772355146e+39,3.990565286265448e+39,4.246370836848725e+39,1.5636286937688964e+39,7.78223300444845e+39,3.5078727112010996e+39
6.0,4.6091148262093895e+39,1.8671021384436418e+39,5.721073459220604e+39,4.151527605400414e+39,4.714580865216245e+39,1.9626828994125328e+39,8.303750298242322e+39,3.6971713319909624e+39
7.0,4.304809694139089e+39,1.9374772000810568e+39,6.059985658096889e+39,4.266427580775863e+39,4.338923874055727e+39,2.0454220821228707e+39,8.841939504657023e+39,3.9161779569925325e+39
8.0,3.664055778267652e+39,1.6454582794703366e+39,5.765990684106863e+39,3.919028188985174e+39,3.658023192820667e+39,1.7449291742929217e+39,8.616444626208224e+39,3.888684287847011e+39
9.0,3.8924653373927246e+39,2.238458690476298e+39,5.4238277292728364e+39,3.58215665438158e+39,3.9203962755990966e+39,2.3997676387758936e+39,8.227329715346746e+39,3.606176245705464e+39
10.0,4.0339613231331856e+39,2.7520359547246055e+39,4.943778968490185e+39,3.1888995454370844e+39,4.0957285424007294e+39,2.970340426093087e+39,7.449662969815382e+39,3.230960311681046e+39
11.0,3.780765005046023e+39,2.6667996394613045e+39,4.564331594494832e+39,2.7250958192468166e+39,3.815903569127917e+39,2.871085859482546e+39,6.800490199791291e+39,2.694233080671018e+39
12.0,3.0558897429973303e+39,2.0232676019792344e+39,4.20550874843825e+39,2.3089216770006176e+39,3.041280708211227e+39,2.148022001281158e+39,6.125218175775892e+39,2.3675886407204192e+39
13.0,2.3167017392780043e+39,7.579701952037618e+38,4.0189390292155397e+39,2.2023550781893712e+39,2.260651790359315e+39,7.658586037889256e+38,5.367022615032895e+39,2.1155023859721308e+39
14.0,2.194082322007875e+39,7.96368096390507e+38,3.762076651325661e+39,2.0323928228788893e+39,2.1707761061242082e+39,8.15424966033764e+38,4.5561109964569637e+39,1.8362394994028045e+39
15.0,2.121551633362577e+39,7.573351642651443e+38,3.476332114413177e+39,1.8045382639638774e+39,2.1057185620039053e+39,7.662335296658588e+38,3.927321158389923e+39,1.6357514362833355e+39
16.0,2.0517604039016016e+39,8.521229329158845e+38,3.0362701277037506e+39,1.5169115160675713e+39,2.0296682769519443e+39,8.698842522861695e+38,3.2990650901593487e+39,1.3822406228359958e+39
17.0,1.906362276712609e+39,9.238058037316723e+38,2.7001983507706583e+39,1.2633935487635538e+39,1.897958063962253e+39,9.569007276577481e+38,2.811288043560541e+39,1.2423059755718974e+39
18.0,1.7797188149409914e+39,9.79498159825671e+38,2.461681201268208e+39,1.0587782178720863e+39,1.79119039609237e+39,1.0103593188258563e+39,2.463591003458632e+39,1.1200029736047757e+39
